;PassengerId;Survived;Sex;Age
0;1;0;male;22.0
1;2;1;female;38.0
2;3;1;female;26.0
3;4;1;female;35.0
4;5;0;male;35.0
5;6;0;male;
6;7;0;male;54.0
7;8;0;male;2.0
8;9;1;female;27.0
9;10;1;female;14.0
10;11;1;female;4.0
11;12;1;female;58.0
12;13;0;male;20.0
13;14;0;male;39.0
14;15;0;female;14.0
15;16;1;female;55.0
16;17;0;male;2.0
17;18;1;male;
18;19;0;female;31.0
19;20;1;female;
20;21;0;male;35.0
21;22;1;male;34.0
22;23;1;female;15.0
23;24;1;male;28.0
24;25;0;female;8.0
25;26;1;female;38.0
26;27;0;male;
27;28;0;male;19.0
28;29;1;female;
29;30;0;male;
30;31;0;male;40.0
31;32;1;female;
32;33;1;female;
33;34;0;male;66.0
34;35;0;male;28.0
35;36;0;male;42.0
36;37;1;male;
37;38;0;male;21.0
38;39;0;female;18.0
39;40;1;female;14.0
40;41;0;female;40.0
41;42;0;female;27.0
42;43;0;male;
43;44;1;female;3.0
44;45;1;female;19.0
45;46;0;male;
46;47;0;male;
47;48;1;female;
48;49;0;male;
49;50;0;female;18.0
50;51;0;male;7.0
51;52;0;male;21.0
52;53;1;female;49.0
53;54;1;female;29.0
54;55;0;male;65.0
55;56;1;male;
56;57;1;female;21.0
57;58;0;male;28.5
58;59;1;female;5.0
59;60;0;male;11.0
60;61;0;male;22.0
61;62;1;female;38.0
62;63;0;male;45.0
63;64;0;male;4.0
64;65;0;male;
65;66;1;male;
66;67;1;female;29.0
67;68;0;male;19.0
68;69;1;female;17.0
69;70;0;male;26.0
70;71;0;male;32.0
71;72;0;female;16.0
72;73;0;male;21.0
73;74;0;male;26.0
74;75;1;male;32.0
75;76;0;male;25.0
76;77;0;male;
77;78;0;male;
78;79;1;male;0.83
79;80;1;female;30.0
80;81;0;male;22.0
81;82;1;male;29.0
82;83;1;female;
83;84;0;male;28.0
84;85;1;female;17.0
85;86;1;female;33.0
86;87;0;male;16.0
87;88;0;male;
88;89;1;female;23.0
89;90;0;male;24.0
90;91;0;male;29.0
91;92;0;male;20.0
92;93;0;male;46.0
93;94;0;male;26.0
94;95;0;male;59.0
95;96;0;male;
96;97;0;male;71.0
97;98;1;male;23.0
98;99;1;female;34.0
99;100;0;male;34.0
100;101;0;female;28.0
101;102;0;male;
102;103;0;male;21.0
103;104;0;male;33.0
104;105;0;male;37.0
105;106;0;male;28.0
106;107;1;female;21.0
107;108;1;male;
108;109;0;male;38.0
109;110;1;female;
110;111;0;male;47.0
111;112;0;female;14.5
112;113;0;male;22.0
113;114;0;female;20.0
114;115;0;female;17.0
115;116;0;male;21.0
116;117;0;male;70.5
117;118;0;male;29.0
118;119;0;male;24.0
119;120;0;female;2.0
120;121;0;male;21.0
121;122;0;male;
122;123;0;male;32.5
123;124;1;female;32.5
124;125;0;male;54.0
125;126;1;male;12.0
126;127;0;male;
127;128;1;male;24.0
128;129;1;female;
129;130;0;male;45.0
130;131;0;male;33.0
131;132;0;male;20.0
132;133;0;female;47.0
133;134;1;female;29.0
134;135;0;male;25.0
135;136;0;male;23.0
136;137;1;female;19.0
137;138;0;male;37.0
138;139;0;male;16.0
139;140;0;male;24.0
140;141;0;female;
141;142;1;female;22.0
142;143;1;female;24.0
143;144;0;male;19.0
144;145;0;male;18.0
145;146;0;male;19.0
146;147;1;male;27.0
147;148;0;female;9.0
148;149;0;male;36.5
149;150;0;male;42.0
150;151;0;male;51.0
151;152;1;female;22.0
152;153;0;male;55.5
153;154;0;male;40.5
154;155;0;male;
155;156;0;male;51.0
156;157;1;female;16.0
157;158;0;male;30.0
158;159;0;male;
159;160;0;male;
160;161;0;male;44.0
161;162;1;female;40.0
162;163;0;male;26.0
163;164;0;male;17.0
164;165;0;male;1.0
165;166;1;male;9.0
166;167;1;female;
167;168;0;female;45.0
168;169;0;male;
169;170;0;male;28.0
170;171;0;male;61.0
171;172;0;male;4.0
172;173;1;female;1.0
173;174;0;male;21.0
174;175;0;male;56.0
175;176;0;male;18.0
176;177;0;male;
177;178;0;female;50.0
178;179;0;male;30.0
179;180;0;male;36.0
180;181;0;female;
181;182;0;male;
182;183;0;male;9.0
183;184;1;male;1.0
184;185;1;female;4.0
185;186;0;male;
186;187;1;female;
187;188;1;male;45.0
188;189;0;male;40.0
189;190;0;male;36.0
190;191;1;female;32.0
191;192;0;male;19.0
192;193;1;female;19.0
193;194;1;male;3.0
194;195;1;female;44.0
195;196;1;female;58.0
196;197;0;male;
197;198;0;male;42.0
198;199;1;female;
199;200;0;female;24.0
200;201;0;male;28.0
201;202;0;male;
202;203;0;male;34.0
203;204;0;male;45.5
204;205;1;male;18.0
205;206;0;female;2.0
206;207;0;male;32.0
207;208;1;male;26.0
208;209;1;female;16.0
209;210;1;male;40.0
210;211;0;male;24.0
211;212;1;female;35.0
212;213;0;male;22.0
213;214;0;male;30.0
214;215;0;male;
215;216;1;female;31.0
216;217;1;female;27.0
217;218;0;male;42.0
218;219;1;female;32.0
219;220;0;male;30.0
220;221;1;male;16.0
221;222;0;male;27.0
222;223;0;male;51.0
223;224;0;male;
224;225;1;male;38.0
225;226;0;male;22.0
226;227;1;male;19.0
227;228;0;male;20.5
228;229;0;male;18.0
229;230;0;female;
230;231;1;female;35.0
231;232;0;male;29.0
232;233;0;male;59.0
233;234;1;female;5.0
234;235;0;male;24.0
235;236;0;female;
236;237;0;male;44.0
237;238;1;female;8.0
238;239;0;male;19.0
239;240;0;male;33.0
240;241;0;female;
241;242;1;female;
242;243;0;male;29.0
243;244;0;male;22.0
244;245;0;male;30.0
245;246;0;male;44.0
246;247;0;female;25.0
247;248;1;female;24.0
248;249;1;male;37.0
249;250;0;male;54.0
250;251;0;male;
251;252;0;female;29.0
252;253;0;male;62.0
253;254;0;male;30.0
254;255;0;female;41.0
255;256;1;female;29.0
256;257;1;female;
257;258;1;female;30.0
258;259;1;female;35.0
259;260;1;female;50.0
260;261;0;male;
261;262;1;male;3.0
262;263;0;male;52.0
263;264;0;male;40.0
264;265;0;female;
265;266;0;male;36.0
266;267;0;male;16.0
267;268;1;male;25.0
268;269;1;female;58.0
269;270;1;female;35.0
270;271;0;male;
271;272;1;male;25.0
272;273;1;female;41.0
273;274;0;male;37.0
274;275;1;female;
275;276;1;female;63.0
276;277;0;female;45.0
277;278;0;male;
278;279;0;male;7.0
279;280;1;female;35.0
280;281;0;male;65.0
281;282;0;male;28.0
282;283;0;male;16.0
283;284;1;male;19.0
284;285;0;male;
285;286;0;male;33.0
286;287;1;male;30.0
287;288;0;male;22.0
288;289;1;male;42.0
289;290;1;female;22.0
290;291;1;female;26.0
291;292;1;female;19.0
292;293;0;male;36.0
293;294;0;female;24.0
294;295;0;male;24.0
295;296;0;male;
296;297;0;male;23.5
297;298;0;female;2.0
298;299;1;male;
299;300;1;female;50.0
300;301;1;female;
301;302;1;male;
302;303;0;male;19.0
303;304;1;female;
304;305;0;male;
305;306;1;male;0.92
306;307;1;female;
307;308;1;female;17.0
308;309;0;male;30.0
309;310;1;female;30.0
310;311;1;female;24.0
311;312;1;female;18.0
312;313;0;female;26.0
313;314;0;male;28.0
314;315;0;male;43.0
315;316;1;female;26.0
316;317;1;female;24.0
317;318;0;male;54.0
318;319;1;female;31.0
319;320;1;female;40.0
320;321;0;male;22.0
321;322;0;male;27.0
322;323;1;female;30.0
323;324;1;female;22.0
324;325;0;male;
325;326;1;female;36.0
326;327;0;male;61.0
327;328;1;female;36.0
328;329;1;female;31.0
329;330;1;female;16.0
330;331;1;female;
331;332;0;male;45.5
332;333;0;male;38.0
333;334;0;male;16.0
334;335;1;female;
335;336;0;male;
336;337;0;male;29.0
337;338;1;female;41.0
338;339;1;male;45.0
339;340;0;male;45.0
340;341;1;male;2.0
341;342;1;female;24.0
342;343;0;male;28.0
343;344;0;male;25.0
344;345;0;male;36.0
345;346;1;female;24.0
346;347;1;female;40.0
